Date,,Road,efficiency
2014/1/2,, 立功路,0.190860215
2014/1/3,, 立功路,0.387096774
2014/1/4,, 立功路,0.14516129
2014/1/6,, 立功路,0.403225806
2014/1/7,, 立功路,0.399193548
2014/1/8,, 立功路,0.27016129
2014/1/9,, 立功路,0.318548387
2014/1/10,, 立功路,0.346774194
2014/1/11,, 立功路,0.149193548
2014/1/13,, 立功路,0.266129032
2014/1/14,, 立功路,0.189516129
2014/1/15,, 立功路,0.346774194
2014/1/16,, 立功路,0.190860215
2014/1/17,, 立功路,0.189516129
2014/1/18,, 立功路,0.080645161
2014/1/20,, 立功路,0.133064516
2014/1/21,, 立功路,0.358870968
2014/1/22,, 立功路,0.266129032
2014/1/23,, 立功路,0.5
2014/1/24,, 立功路,0.274193548
2014/1/25,, 立功路,0.153225806
2014/1/27,, 立功路,0.209677419
2014/1/28,, 立功路,0.161290323
2014/1/29,, 立功路,0.256048387
2014/2/5,, 立功路,0.33266129
2014/2/6,, 立功路,0.334677419
2014/2/7,, 立功路,0.649193548
2014/2/8,, 立功路,0.173387097
2014/2/10,, 立功路,0.314516129
2014/2/11,, 立功路,0.681451613
2014/2/12,, 立功路,0.268145161
2014/2/13,, 立功路,0.620967742
2014/2/14,, 立功路,0.268145161
2014/2/15,, 立功路,0.10483871
2014/2/17,, 立功路,0.300403226
2014/2/18,, 立功路,0.504032258
2014/2/19,, 立功路,0.532258065
2014/2/20,, 立功路,0.580645161
2014/2/21,, 立功路,0.169354839
2014/2/22,, 立功路,0.153225806
2014/2/24,, 立功路,0.185483871
2014/2/25,, 立功路,0.193548387
2014/2/26,, 立功路,0.483870968
2014/2/27,, 立功路,0.495967742
2014/3/3,, 立功路,0.169354839
2014/3/4,, 立功路,0.052419355
2014/3/5,, 立功路,0.056451613
2014/3/6,, 立功路,0.02016129
2014/3/7,, 立功路,0.02016129
2014/3/8,, 立功路,0.02016129
2014/3/10,, 立功路,0.056451613
2014/3/11,, 立功路,0.036290323
2014/3/12,, 立功路,0.294354839
2014/3/13,, 立功路,0.141129032
2014/3/14,, 立功路,0.125
2014/3/15,, 立功路,0.14516129
2014/3/17,, 立功路,0.092741935
2014/3/18,, 立功路,0.125
2014/3/19,, 立功路,0.600806452
2014/3/20,, 立功路,0.552419355
2014/3/21,, 立功路,0.483870968
2014/3/22,, 立功路,0.262096774
2014/3/24,, 立功路,0.540322581
2014/3/25,, 立功路,0.487903226
2014/3/26,, 立功路,0.258064516
2014/3/27,, 立功路,0.370967742
2014/3/28,, 立功路,0.451612903
2014/3/29,, 立功路,0.116935484
2014/3/31,, 立功路,0.318548387
2014/4/1,, 立功路,0.283602151
2014/4/2,, 立功路,0.39516129
2014/4/3,, 立功路,0.806451613
2014/4/7,, 立功路,0.385080645
2014/4/8,, 立功路,0.22983871
2014/4/9,, 立功路,0.762096774
2014/4/10,, 立功路,0.709677419
2014/4/11,, 立功路,0.741935484
2014/4/12,, 立功路,0.314516129
2014/4/14,, 立功路,0.383064516
2014/4/15,, 立功路,0.247311828
2014/4/16,, 立功路,0.352822581
2014/4/17,, 立功路,0.389112903
2014/4/18,, 立功路,0.356854839
2014/4/19,, 立功路,0.322580645
2014/4/21,, 立功路,0.240591398
2014/4/22,, 立功路,0.379032258
2014/4/23,, 立功路,0.377016129
2014/4/24,, 立功路,0.239247312
2014/4/25,, 立功路,0.381048387
2014/4/26,, 立功路,0.205645161
2014/4/28,, 立功路,0.348790323
2014/4/29,, 立功路,0.235215054
2014/4/30,, 立功路,0.352822581
2014/5/1,, 立功路,0.39516129
2014/5/2,, 立功路,0.754032258
2014/5/3,, 立功路,0.294354839
2014/5/5,, 立功路,0.72983871
2014/5/6,, 立功路,0.717741935
2014/5/7,, 立功路,0.693548387
2014/5/8,, 立功路,0.681451613
2014/5/9,, 立功路,0.790322581
2014/5/10,, 立功路,0.205645161
2014/5/12,, 立功路,0.830645161
2014/5/13,, 立功路,0.72983871
2014/5/14,, 立功路,0.197580645
2014/5/15,, 立功路,0.653225806
2014/5/16,, 立功路,0.612903226
2014/5/17,, 立功路,0.024193548
2014/5/19,, 立功路,0.298387097
2014/5/20,, 立功路,0.681451613
2014/5/21,, 立功路,0.633064516
2014/5/22,, 立功路,0.310483871
2014/5/23,, 立功路,0.52016129
2014/5/24,, 立功路,0.14516129
2014/5/26,, 立功路,0.693548387
2014/5/27,, 立功路,0.721774194
2014/5/28,, 立功路,0.633064516
2014/5/29,, 立功路,0.592741935
2014/5/30,, 立功路,0.5
2014/6/3,, 立功路,0.669354839
2014/6/4,, 立功路,0.348790323
2014/6/5,, 立功路,0.356854839
2014/6/6,, 立功路,0.314516129
2014/6/7,, 立功路,0.157258065
2014/6/9,, 立功路,0.802419355
2014/6/10,, 立功路,0.370967742
2014/6/11,, 立功路,0.637096774
2014/6/12,, 立功路,0.358870968
2014/6/13,, 立功路,0.77016129
2014/6/14,, 立功路,0.233870968
2014/6/16,, 立功路,0.324596774
2014/6/17,, 立功路,0.340725806
2014/6/18,, 立功路,0.385080645
2014/6/19,, 立功路,0.625
2014/6/20,, 立功路,0.348790323
2014/6/21,, 立功路,0.185483871
2014/6/23,, 立功路,0.447580645
2014/6/24,, 立功路,0.22311828
2014/6/25,, 立功路,0.346774194
2014/6/26,, 立功路,0.336693548
2014/6/27,, 立功路,0.348790323
2014/6/28,, 立功路,0.375
2014/6/30,, 立功路,0.298387097
2014/7/1,, 立功路,0.217741935
2014/7/2,, 立功路,0.669354839
2014/7/3,, 立功路,0.459677419
